Date,Open,High,Low,Close,Adj_Close,Volume
2022-05-05,14.43,14.5,13.82,13.87,13.87,8.0053e6
2022-05-06,13.83,14.03,13.43,13.67,13.67,8.3482e6
2022-05-09,13.35,13.58,12.88,12.93,12.93,6.6586e6
2022-05-10,13.15,13.24,12.72,13.16,13.16,1.17558e7
2022-05-11,13.09,13.72,12.83,12.94,12.94,1.01491e7
2022-05-12,12.77,13.35,12.68,12.98,12.98,8.0869e6
2022-05-13,13.06,14.55,13.06,14.51,14.51,9.7845e6
2022-05-16,14.52,14.78,14.22,14.61,14.61,5.2305e6
2022-05-17,15.03,15.53,14.83,15.27,15.27,7.6622e6
2022-05-18,14.98,15.39,14.61,14.8,14.8,7.4053e6
2022-05-19,15.0,15.08,14.52,14.9,14.9,5.0654e6
2022-05-20,15.28,15.62,14.86,15.21,15.21,7.9534e6
2022-05-23,15.37,15.89,14.88,15.7,15.7,7.8398e6
2022-05-24,15.42,15.49,14.91,15.07,15.07,5.5672e6
2022-05-25,14.94,15.02,14.65,14.89,14.89,5.2229e6
2022-05-26,15.0,15.48,14.82,15.34,15.34,6.4036e6
2022-05-27,15.43,15.53,15.13,15.22,15.22,4.6466e6
2022-05-30,15.51,15.55,14.65,14.65,14.65,3.211e6
2022-05-31,14.77,14.95,14.47,14.51,14.51,6.114e6
2022-06-01,14.71,14.71,13.95,13.95,13.95,6.0473e6
2022-06-02,14.11,14.22,13.88,14.08,14.08,4.3317e6
2022-06-03,14.0,14.0,13.58,13.58,13.58,4.665e6
2022-06-06,13.89,13.92,13.44,13.48,13.48,6.2148e6
2022-06-07,13.32,13.4,13.04,13.12,13.12,4.4902e6
2022-06-08,13.04,13.28,12.88,12.93,12.93,7.1947e6
2022-06-09,12.91,12.99,12.32,12.32,12.32,6.4131e6
2022-06-10,12.28,12.33,11.54,11.62,11.62,9.2805e6
2022-06-13,11.33,11.33,9.91,9.94,9.94,2.36552e7
2022-06-14,10.1,10.18,9.43,9.55,9.55,1.78228e7
2022-06-15,9.8,10.33,9.76,10.17,10.17,1.59445e7
2022-06-17,9.8,10.33,9.46,10.22,10.22,1.28748e7
2022-06-20,10.4,10.53,9.78,10.04,10.04,7.9688e6
2022-06-21,10.34,10.37,9.8,9.9,9.9,9.1562e6
2022-06-22,9.64,10.26,9.64,9.81,9.81,9.4395e6
2022-06-23,9.92,10.06,9.74,9.84,9.84,7.6088e6
2022-06-24,9.97,10.58,9.81,10.5,10.5,1.39379e7
2022-06-27,10.6,10.7,10.02,10.08,10.08,1.06368e7
2022-06-28,10.19,10.3,9.67,9.7,9.7,9.2538e6
2022-06-29,9.73,9.84,9.23,9.42,9.42,1.4551e7
2022-06-30,9.2,9.37,8.87,9.07,9.07,1.22139e7
